Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
40, 1024, 1, 1, 32, 0.184297, 0.148008, N/A, 0.00102006, 0.00148093, 0.0411, 0.00272526, 2, 2, 2, 4, 1, 1, 70.219, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1024, 1, 1, 32, 0.184297, 0.148008, N/A, 0.00102006, 0.00148093, 0.0411, 0.00272526, 2, 2, 2, 4, 1, 1, 70.219, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1024, 1, 1, 32, 0.184297, 0.148008, N/A, 0.00102006, 0.00148093, 0.0411, 0.00272526, 2, 2, 2, 4, 1, 1, 70.219, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1024, 1, 1, 32, 0.184297, 0.148008, N/A, 0.00102006, 0.00148093, 0.0411, 0.00272526, 2, 2, 2, 4, 1, 1, 70.219, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1024, 1, 1, 32, 0.184297, 0.148008, N/A, 0.00102006, 0.00148093, 0.0411, 0.00272526, 2, 2, 2, 4, 1, 1, 70.219, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1024, 1, 1, 32, 0.184297, 0.148008, N/A, 0.00102006, 0.00148093, 0.0411, 0.00272526, 2, 2, 2, 4, 1, 1, 70.219, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1024, 1, 1, 32, 0.184297, 0.148008, N/A, 0.00102006, 0.00148093, 0.0411, 0.00272526, 2, 2, 2, 4, 1, 1, 70.219, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1024, 1, 1, 32, 0.184297, 0.148008, N/A, 0.00102006, 0.00148093, 0.0411, 0.00272526, 2, 2, 2, 4, 1, 1, 70.219, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1024, 1, 1, 32, 0.184297, 0.148008, N/A, 0.00102006, 0.00148093, 0.0411, 0.00272526, 2, 2, 2, 4, 1, 1, 70.219, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1024, 1, 1, 32, 0.184297, 0.148008, N/A, 0.00102006, 0.00148093, 0.0411, 0.00272526, 2, 2, 2, 4, 1, 1, 70.219, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1024, 1, 1, 32, 0.184297, 0.148008, N/A, 0.00102006, 0.00148093, 0.0411, 0.00272526, 2, 2, 2, 4, 1, 1, 70.219, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1024, 1, 1, 32, 0.184297, 0.148008, N/A, 0.00102006, 0.00148093, 0.0411, 0.00272526, 2, 2, 2, 4, 1, 1, 70.219, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1024, 1, 1, 32, 0.184297, 0.148008, N/A, 0.00102006, 0.00148093, 0.0411, 0.00272526, 2, 2, 2, 4, 1, 1, 70.219, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1024, 1, 1, 32, 0.184297, 0.148008, N/A, 0.00102006, 0.00148093, 0.0411, 0.00272526, 2, 2, 2, 4, 1, 1, 70.219, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1024, 1, 1, 32, 0.184297, 0.148008, N/A, 0.00102006, 0.00148093, 0.0411, 0.00272526, 2, 2, 2, 4, 1, 1, 70.219, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1024, 1, 1, 32, 0.184297, 0.148008, N/A, 0.00102006, 0.00148093, 0.0411, 0.00272526, 2, 2, 2, 4, 1, 1, 70.219, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
40, 1024, 1, 1, 32, 0.184297, 0.148008, N/A, 0.00102006, 0.00148093, 0.0411, 0.00272526, 2, 2, 2, 4, 1, 1, 70.219, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
